name;cpf;gender;roleId;cardNumber;cardTechnology;expirationDate;organizationalStructure1;email;registry
TESTE AI 1001;75170421100;;1;43039701;1;01/01/2030;1;teste@tese23.com;1
TESTE AI 1002;75270421101;1;2;43139702;2;;2;;
TESTE AI 1003;75370421102;2;3;43239703;2;01/01/2030;3;teste@tese23.com;2
TESTE AI 1004;75470421103;1;1;43339704;2;;3;;
TESTE AI 1005;75570421104;;1;43439705;2;;3;;
TESTE AI 1006;75670421105;2;1;43539706;2;;3;;
TESTE AI 1007;75770421106;;1;43639707;2;;3;;
TESTE AI 1008;75870421107;;2;43739708;2;;3;;
TESTE AI 1009;75970421108;;2;43839709;2;;3;;
TESTE AI 1010;76070421109;1;2;43939710;2;;3;;10
